04-01,412971
04-02,417269
04-03,442523
04-04,345943
04-06,371285
04-07,343855
04-08,385678
04-09,403225
04-10,330202
04-12,258603
04-13,214565
04-14,302449
04-15,289956
04-16,303813
04-17,342418
04-18,325929
04-19,324083
04-20,316906
04-21,296291
04-22,325447
04-23,354791
04-24,335518
04-25,331896
04-26,320975
04-27,303827
04-28,278039
04-30,339309
05-03,376976
05-05,371252
05-06,387758
05-08,437745
05-09,427462
05-10,424377
05-12,389550
05-16,362028
05-18,420486
05-20,402975
05-24,413170
05-27,371069
05-31,461281
